No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	2.048kHz	BUZZER1	BUZ-TH_BD12.0-P6.50-D0.6-FD	2.048kHz	GMC1205YA-16R2048	INGHAi(赢海)	C252915	LCSC
2	2	1uF	C1,C13	C0603	1uF				
3	14	100nF	C2,C3,C4,C5,C6,C7,C8,C9,C10,C14,C15,C18,C19,C20	C0603	100nF				
4	2	10uF	C11,C12	C0603	10uF				
5	2	15pF	C16,C17	C0603	15pF				
6	9	28115182DM	KEY1,KEY2,KEY3,KEY4,KEY5,KEY6,KEY7,KEY8,KEY9	KEY-TH_28115181DM		28115182DM	SAMZO(三佐)	C47121945	LCSC
7	2	5.1K	R1,R2	R0603	5.1K				
8	2	27	R3,R4	R0603	27				
9	1	10K	R5	R0603	10K				
10	2	1K	R6,R7	R0603	1K				
11	1	TS-1088-AR02016	SW1	SW-SMD_L3.9-W3.0-P4.45		TS-1088-AR02016	XUNPU(讯普)	C720477	LCSC
12	1	RP2040	U1	LQFN-56_L7.0-W7.0-P0.4-EP		RP2040	Raspberry Pi(树莓派)	C2040	LCSC
13	1	NCP1117DT33RKG	U2	TO-252-2_L6.6-W6.1-P4.57-LS9.9-TL-CW		NCP1117DT33RKG	onsemi(安森美)	C88234	LCSC
14	1	12MHz	U4	CRYSTAL-SMD_4P-L3.2-W2.5-BL	12MHz	SX3B12.000F1510F30	SCTF(星通时频)	C2901651	LCSC
15	1	PY25Q128HA-SUH-IR	U5	SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL		PY25Q128HA-SUH-IR	PUYA(普冉)	C5354566	LCSC
16	1	TYPE-C 16PIN 2MD(073)	USB1	USB-C-SMD_TYPE-C-16PIN-2MD-073		TYPE-C 16PIN 2MD(073)	SHOU HAN(首韩)	C2765186	LCSC
